序号,所属数据库,所属服务,表名,表说明,主键字段,状态,创建时间,最后更新,负责人,评审人,备注
1,user,用户服务,user_core,用户核心信息表,user_id,已定稿,2025/10/18,2025/10/20,@年华✨,@王莹,
2,user,用户服务,user_profile,用户个人资料表,profile_id,已定稿,2025/10/18,2025/10/20,@年华✨,@王莹,
3,user,用户服务,user_security,用户安全信息表,security_id,已定稿,2025/10/18,2025/10/20,@年华✨,@王莹,
4,user,用户服务,nfc_badge,NFC工牌信息表,badge_id,已定稿,2025/10/18,2025/10/19,@年华✨,@王莹,
5,user,用户服务,user_access_key,用户访问密钥表,key_id,已定稿,2025/10/20,2025/10/21,@年华✨,@王莹,
6,auth,身份认证与授权服务,key_access_audit_log,密钥访问审计表,log_id,已定稿,2025/10/20,2025/10/20,@年华✨,@王莹,
7,auth,身份认证与授权服务,user_login_log,用户登录日志表,log_id,已定稿,2025/10/18,2025/10/18,@年华✨,@王莹,
8,auth,身份认证与授权服务,permission,权限表,permission_id,已定稿,2025/10/18,2025/10/18,@年华✨,@王莹,
9,auth,身份认证与授权服务,role,角色表,role_id,已定稿,2025/10/18,2025/10/18,@年华✨,@王莹,
10,auth,身份认证与授权服务,user_role,用户角色关联表,id,已定稿,2025/10/18,2025/10/18,@年华✨,@王莹,需要添加「用户id-角色id」唯一索引
11,auth,身份认证与授权服务,role_permission,角色权限关联表,id,已定稿,2025/10/18,2025/10/19,@年华✨,@王莹,需要添加「角色id-权限id」唯一索引
12,oss,文件管理服务,minio_file,MinIO文件表,file_id,已定稿,2025/10/18,2025/10/19,@年华✨,@王莹,
13,inventory,库存服务,product,产品基本信息表,product_id,已定稿,2025/10/19,2025/10/19,@年华✨,@王莹,
14,inventory,库存服务,inventory,库存明细表,inventory_id,已定稿,2025/10/19,2025/10/19,@年华✨,@王莹,
15,tag,标签服务,product_tag,标签表,tag_id,已定稿,2025/10/19,2025/10/19,@年华✨,@王莹,
16,inout,出入库服务,stock_order,出入库单表,order_id,已定稿,2025/10/19,2025/10/19,@年华✨,@王莹,
17,inout,出入库服务,stock_order_item,出入库明细表,item_id,已定稿,2025/10/19,2025/10/19,@年华✨,@王莹,
18,device,设备服务,device_core,设备核心信息表,device_id,已定稿,2025/10/19,2025/10/19,@年华✨,@王莹,
19,device,设备服务,device_rfid_reader,RFID设备表,device_id,已定稿,2025/10/19,2025/10/19,@年华✨,@王莹,主键继承自device_core.device_id
20,device,设备服务,device_camera,监控设备表,device_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,主键继承自device_core.device_id
21,device,设备服务,device_inspection_robot,智能巡检小车表,device_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,主键继承自device_core.device_id
22,device,设备服务,device_heartbeat_log,设备心跳记录表,log_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
23,monitor,监控服务,monitor_record,录像文件记录表,record_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
24,monitor,监控服务,monitor_snapshot,视频截图记录表,snapshot_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
25,inspection,巡检服务,inspection_task,巡检任务表,task_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
26,inspection,巡检服务,inspection_plan,巡检计划表,plan_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
27,inspection,巡检服务,inspection_detail,巡检明细表,detail_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
28,inspection,巡检服务,inspection_result_summary,巡检结果汇总表,result_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
29,report,报表服务,report_task,报表任务表,task_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
30,report,报表服务,report_export_record,报表导出记录表,record_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
31,alert,告警服务,alert_event,告警表,event_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
32,alert,告警服务,alert_handle_log,告警处理日志表,log_id,已定稿,2025/10/19,2025/10/20,@年华✨,@王莹,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,,,,,,,,,,,
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,,,,,,,,,,,
110,,,,,,,,,,,
111,,,,,,,,,,,
112,,,,,,,,,,,
113,,,,,,,,,,,
114,,,,,,,,,,,
